xls,site_name,proxy,age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,reference,doi,co2_as_published,proxy_category,category_reason,co2_superseded,co2_recalculated,co2_revised_reason,age_as_published,age_quarantined,age_superseded,age_recalculated,age_revised_reason,modern_latitude,modern_longitude
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,36963.28,177.93,177.93,830.6,167.98,146.54,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,37636.08,180.99,180.99,814.01,334.09,203.91,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,38109.41,183.15,183.15,898.8,209.28,160.36,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,38781.08,186.21,186.21,893.23,156.4,157.32,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,38781.08,186.21,186.21,887.01,169.97,153.25,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,38781.08,186.21,186.21,950.09,207.79,172.86,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,38781.08,186.21,186.21,947.84,191.91,180.3,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,39445.98,189.24,189.24,787.87,188.68,159.63,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,39445.98,189.24,189.24,945.83,195.63,151.98,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,40250.64,192.9,192.9,966.73,219.38,165.53,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
